id,team
1,Arsenal
2,Bournemouth
3,Brighton
4,Burnely
5,Chelsea
6,Crystal Palace
7,Everton
8,Huddersfield
9,Leicester
10,Liverpool
11,Man City
12,Man Utd
13,Newcastle
14,Southampton
15,Stoke
16,Swansea
17,Spurs
18,Watford
19,West Brom
20,West Ham
